ID,Standard ID,Title,Description,Difficulty,Status,Generated By
"subskill_std_10_1","std_10","Plotting solutions of equations","Students will be able to identify and plot ordered pairs that satisfy a given two-variable equation on a coordinate plane. This involves substituting values for one variable to determine the corresponding value of the other variable, creating solution pairs, and accurately placing these points on the coordinate grid.","beginning","draft","ai"
"subskill_std_10_2","std_10","Recognizing solution sets as curves","Students will understand that when multiple solutions of an equation are plotted, they form a pattern that creates a curve or line. They will be able to identify the general shape formed by plotted solution points and recognize that this represents all possible solutions to the equation.","developing","draft","ai"
"subskill_std_10_3","std_10","Distinguishing linear from nonlinear graphs","Students will be able to analyze the graph of an equation and determine whether it represents a linear relationship (forming a straight line) or a nonlinear relationship (forming a curve). They will connect this visual distinction to the algebraic form of the equation.","proficient","draft","ai"
"subskill_std_10_4","std_10","Verifying points on solution curves","Students will be able to determine whether a given point lies on the graph of an equation by testing it algebraically. They will substitute the coordinates into the original equation to verify if the point is indeed part of the solution set, reinforcing the connection between the graphical and algebraic representations.","advanced","draft","ai"
"subskill_std_172_1","std_172","Define Triangle Congruence Using Rigid Motions","Students will demonstrate understanding that two triangles are congruent if one can be mapped onto the other using a sequence of rigid motions (translations, reflections, and rotations). They will explain this definition in their own words and identify examples where rigid motions prove congruence.","beginning","draft","ai"
"subskill_std_172_2","std_172","Explain ASA Congruence Using Rigid Motions","Students will articulate how the Angle-Side-Angle (ASA) criterion ensures triangle congruence by demonstrating that two triangles with two corresponding angles and the included side congruent can be mapped onto each other using rigid motions. They will provide step-by-step justifications.","developing","draft","ai"
"subskill_std_172_3","std_172","Explain SAS Congruence Using Rigid Motions","Students will explain how the Side-Angle-Side (SAS) criterion guarantees triangle congruence by showing that two triangles with two corresponding sides and the included angle congruent can be transformed into each other through rigid motions. They will construct logical arguments supported by diagrams.","proficient","draft","ai"
"subskill_std_172_4","std_172","Explain SSS Congruence Using Rigid Motions","Students will justify the Side-Side-Side (SSS) criterion by demonstrating that two triangles with all three corresponding sides congruent can be mapped onto each other using rigid motions. They will analyze complex cases and provide rigorous explanations.","advanced","draft","ai"
"subskill_std_46_1","std_46","Graphing Linear Functions","Students will be able to graph linear functions accurately by identifying key features such as slope and y-intercept. They will use these features to plot points and draw the line, ensuring the graph represents the function correctly. This skill is foundational for understanding more complex functions and their graphical representations.","beginning","draft","ai"
"subskill_std_46_2","std_46","Identifying Intercepts of Linear Functions","Students will learn to find and label the x-intercept and y-intercept of linear functions both algebraically and graphically. They will understand how these intercepts relate to the solutions of the function and how to use them to verify the accuracy of their graphs.","developing","draft","ai"
"subskill_std_46_3","std_46","Graphing Quadratic Functions","Students will be able to graph quadratic functions by identifying the vertex, axis of symmetry, and direction of opening. They will use these features to plot key points and sketch the parabola, ensuring the graph accurately represents the function's behavior.","proficient","draft","ai"
"subskill_std_46_4","std_46","Identifying Maxima and Minima of Quadratic Functions","Students will learn to identify and label the maximum or minimum value of a quadratic function, also known as the vertex. They will understand how the coefficient of the quadratic term affects the direction of the parabola and whether the vertex represents a maximum or minimum.","advanced","draft","ai"
"subskill_std_1_1","std_1","Calculate Expected Value","Students will learn to calculate the expected value of a probability scenario by multiplying each possible outcome by its probability and summing the results. This foundational skill involves understanding the concept of expected value as a long-term average outcome. Students will work with simple probability distributions, such as dice rolls or coin flips, to practice calculating expected values. They will also interpret the meaning of the calculated expected value in the context of the problem.","beginning","draft","ai"
"subskill_std_1_2","std_1","Interpret Expected Value in Context","Students will develop the ability to interpret the expected value of a scenario in real-world contexts. This involves understanding what the expected value represents, such as the average gain or loss over many trials. Students will analyze scenarios like games of chance or financial decisions to explain the significance of the expected value. This skill bridges mathematical calculation with practical application.","developing","draft","ai"
"subskill_std_1_3","std_1","Compare Strategies Using Expected Value","Students will compare multiple strategies or options by calculating and contrasting their expected values. This involves evaluating which strategy is more favorable based on the calculated expected values. For example, students might compare two different betting strategies or investment options. This skill emphasizes decision-making based on quantitative analysis.","proficient","draft","ai"
"subskill_std_1_4","std_1","Evaluate and Justify Decisions","Students will evaluate the best course of action in a given scenario by analyzing expected values and justifying their choice. This advanced skill requires synthesizing calculations, interpretations, and comparisons to make informed decisions. Students will present their reasoning, including potential risks and benefits, to support their conclusions. This skill prepares students for complex decision-making in uncertain situations.","advanced","draft","ai"
"subskill_std_16_1","std_16","Add and Subtract Complex Numbers","Students will learn to add and subtract complex numbers by combining like terms. They will understand that the real parts are combined separately from the imaginary parts. For example, (3 + 2i) + (1 - 4i) = 4 - 2i. This skill is foundational for more complex operations with complex numbers.","beginning","draft","ai"
"subskill_std_16_2","std_16","Multiply Complex Numbers","Students will multiply complex numbers using the distributive property (FOIL method) and the fact that i² = -1. For example, (2 + 3i)(1 - 2i) = 2 - 4i + 3i - 6i² = 8 - i. This skill builds on their understanding of polynomial multiplication.","developing","draft","ai"
"subskill_std_16_3","std_16","Divide Complex Numbers","Students will divide complex numbers by multiplying the numerator and denominator by the conjugate of the denominator. This process eliminates the imaginary part in the denominator. For example, (3 + 2i) / (1 - i) = (3 + 2i)(1 + i) / (1 - i)(1 + i) = (1 + 5i) / 2 = 0.5 + 2.5i.","proficient","draft","ai"
"subskill_std_16_4","std_16","Simplify Powers of i","Students will simplify expressions involving powers of i by recognizing the cyclic pattern of iⁿ: i¹ = i, i² = -1, i³ = -i, i⁴ = 1, and so on. For example, i⁷ = i⁴ * i³ = 1 * (-i) = -i. This skill is essential for advanced operations with complex numbers.","advanced","draft","ai"